participant_id,data,UW_AR_gain,UW_VA_gain,PCGrad_AR_gain,PCGrad_VA_gain
104,36,0.0,0.0,0.0,0.11111111111111116
105,56,0.017857142857142905,0.1428571428571429,-0.017857142857142794,0.017857142857142905
106,51,0.0,0.019607843137254832,0.0,-0.019607843137254943
107,42,0.09523809523809523,-0.07142857142857151,0.0,-0.19047619047619063
108,63,0.0,-0.04761904761904756,0.0,-0.04761904761904756
109,32,0.0,0.1875,-0.03125,0.09375
110,49,0.0,-0.020408163265306034,-0.18367346938775508,-0.04081632653061218
111,62,0.0,0.4354838709677419,-0.032258064516129004,0.33870967741935487
112,54,0.25925925925925936,-0.0185185185185186,-0.33333333333333326,0.01851851851851838
113,31,0.0,0.032258064516129,0.0,0.0
114,52,0.0,-0.057692307692307654,0.0,0.0
116,46,0.0,-0.021739130434782594,0.0,-0.08695652173913049
117,68,0.0,-0.05882352941176472,0.0,-0.16176470588235292
120,46,0.04347826086956519,0.0,0.10869565217391297,0.0
122,59,0.0847457627118644,0.05084745762711862,0.0,-0.2033898305084746
123,47,0.02127659574468077,0.14893617021276595,-0.14893617021276606,0.25531914893617025
124,31,-0.06451612903225812,0.06451612903225801,0.3548387096774194,0.06451612903225801
125,43,0.023255813953488302,0.13953488372093015,0.0,-0.06976744186046513
126,49,0.0,0.0,-0.020408163265306034,0.0
127,51,0.019607843137254888,0.0,0.03921568627450989,0.0
128,64,0.09375,0.03125,-0.09375,0.03125
129,49,-0.08163265306122447,0.0,0.0,0.0
131,63,0.0,-0.015873015873015817,-0.03174603174603163,-0.06349206349206349
132,51,-0.0980392156862745,0.05882352941176472,-0.0980392156862745,0.07843137254901966
133,68,0.014705882352941235,-0.014705882352941235,-0.2647058823529411,0.0
134,64,0.0,0.015625,0.0,-0.015625
