participant_id,mean_loss,n_windows,pos_frac,degenerate,sigma2_proxy
10,0.0001496944751124829,287,1.0,True,1.2005618e-06
11,0.00013091012078803033,288,1.0,True,1.3123945e-06
12,0.00012307213910389692,288,1.0,True,1.2592908e-06
13,0.26855507493019104,280,0.699999988079071,False,0.7081166
14,0.00010677787940949202,280,1.0,True,1.20194e-06
15,0.0001299200375797227,280,1.0,True,1.1573835e-06
16,0.00011584709136513993,287,1.0,True,1.1756567e-06
17,0.21691979467868805,290,0.7103448510169983,False,0.696691
18,0.0001386019866913557,280,1.0,True,1.2803202e-06
19,0.00017176303663291037,231,1.0,True,1.2192737e-06
20,0.023182064294815063,231,0.27272728085517883,False,0.036915533
21,0.00014324573567137122,231,1.0,True,1.2544207e-06
22,0.00013760666479356587,279,1.0,True,1.2398725e-06
23,0.00012742984108626842,231,1.0,True,1.1564567e-06
24,0.07414902001619339,287,0.12195122241973877,False,0.013172354
25,0.20182710886001587,280,0.699999988079071,False,0.3342058
26,0.0001245650346390903,231,1.0,True,1.3670344e-06
27,0.00010502649820409715,231,1.0,True,1.2294286e-06
28,0.08969718962907791,280,0.4000000059604645,False,0.18718313
30,0.2019399106502533,231,0.6363636255264282,False,0.7780357
31,0.00011071482731495053,287,1.0,True,1.2864767e-06
32,0.15031816065311432,287,0.4146341383457184,False,0.29889742
33,0.013902373611927032,287,0.12195122241973877,False,1.1032625e-05
34,0.004280084278434515,231,0.6363636255264282,False,0.00071893394
36,0.00013532323646359146,280,1.0,True,1.1914973e-06
37,0.00010821195610333234,231,1.0,True,1.2039131e-06
38,0.00014323912910185754,287,1.0,True,1.2191621e-06
39,0.0001550178712932393,231,1.0,True,1.1943904e-06
