participant_id,mean_loss,n_windows,pos_frac,degenerate,sigma2_proxy
10,0.00011072801135014743,287,1.0,True,0.0012972852
11,9.758018859429285e-05,288,1.0,True,0.0013300781
12,9.483713074587286e-05,288,1.0,True,0.001336644
13,0.2576915919780731,280,0.699999988079071,False,0.67766047
14,0.00011422639363445342,280,1.0,True,0.0013031162
15,9.037438576342538e-05,280,1.0,True,0.0013040255
16,0.00011296536831650883,287,1.0,True,0.0013043832
17,0.09709244966506958,290,0.4206896424293518,False,0.3312099
18,0.18484853208065033,280,0.6000000238418579,False,0.19201773
19,0.00590793089941144,231,0.8787878751754761,False,0.0020796917
20,0.1655033975839615,231,0.6363636255264282,False,0.5420833
21,9.441729343961924e-05,231,1.0,True,0.0013114318
22,9.824825974646956e-05,279,1.0,True,0.0013107816
23,0.0900784581899643,231,0.8787878751754761,False,0.10511294
24,9.63610436883755e-05,287,1.0,True,0.0012939788
25,0.004498877562582493,280,0.6000000238418579,False,0.012999896
26,0.00010619214299367741,231,1.0,True,0.001338701
27,0.3569503724575043,231,0.5151515007019043,False,0.7944729
28,0.12551240622997284,280,0.6000000238418579,False,0.3683342
30,0.13205352425575256,231,0.8787878751754761,False,0.31795597
31,0.11968200653791428,287,0.707317054271698,False,0.13385521
32,0.00011771529534598812,287,1.0,True,0.0013070031
33,8.988706395030022e-05,287,1.0,True,0.0013167278
34,0.009525286965072155,231,0.6363636255264282,False,0.013001407
36,0.01571134477853775,280,0.699999988079071,False,0.004549687
37,8.745557715883479e-05,231,1.0,True,0.0013056146
38,0.00010385530185885727,287,1.0,True,0.0013153849
39,0.12805113196372986,231,0.1515151560306549,False,0.18887906
