participant_id,ar_affinity_score,va_affinity_score
2,-0.001458791084587574,-5.218019008636475
5,-1.518824577331543,-7.376247882843018
8,-0.0017219176515936852,-0.08168282359838486
9,-0.006681742612272501,-0.22274762392044067
10,-0.001248352462425828,-0.024699190631508827
11,-0.003995491657406092,-0.03752749413251877
12,-0.004468700848519802,-0.041189584881067276
13,-0.03874058276414871,-0.0831228718161583
14,-0.0029012386221438646,-0.034973081201314926
15,-0.005291255656629801,-0.039486099034547806
16,-0.0024012206122279167,-0.024228444322943687
17,-0.020327359437942505,-0.03882559388875961
18,-0.007896370254456997,-0.4499523341655731
19,-0.0016579872462898493,-0.009931592270731926
20,-0.06516079604625702,-0.06484876573085785
21,-0.0027859979309141636,-0.025588134303689003
22,-0.002445114078000188,-0.013747881166636944
23,-0.0070807659067213535,-0.27239790558815
24,-4.695094108581543,-0.006117218639701605
25,-0.04538695886731148,-2.8145270347595215
26,-0.010408955626189709,-0.057457853108644485
27,-0.002524793380871415,-0.09831415861845016
28,-0.007771966978907585,-0.6254667639732361
29,-0.003907894250005484,-0.03194195032119751
30,-2.9939017295837402,-0.1156497523188591
31,-0.003250393783673644,-1.0188521146774292
32,-0.12189973145723343,-0.014987552538514137
33,-0.00673800939694047,-0.024035919457674026
34,-0.11780048906803131,-0.39774084091186523
35,-0.0862705186009407,-0.46770378947257996
36,-0.0007317328127101064,-0.9540565609931946
37,-0.0032331531401723623,-0.006838032975792885
38,-0.002047840505838394,-0.024183424189686775
39,-0.0027933907695114613,-5.148514270782471
