task,low_n,low_mean,high_n,high_mean,t,p
AR,6,-1.9426289034132163,20,-0.6053662042158284,-0.31357188894220883,0.7565553432310783
VA,5,5.793970814132104,21,-0.9148516089792015,1.5462158808596833,0.1351382145339869
