group,n,r,p,rho,p_spear
ar_full,26,-0.051393277782710176,0.803104234230382,-0.024926619875574763,0.9037949716947011
ar_clean,25,-0.15557698333258482,0.4577240087524791,-0.09019433921996722,0.6680983463263765
va_full,26,0.24557475406137358,0.22657423718314149,0.47114763584808594,0.015119166585148605
va_clean,23,0.5685890338652713,0.004640884815110437,0.5170510493975023,0.011522028415785014
