Model,AUC,N,Task
P-STL,0.6685697067366851,4565,AR
STL,0.6207395565586274,4565,AR
MTL,0.6581347164908218,4565,AR
MTL+UW,0.7025101997416106,4565,AR
MTL+PCGrad,0.7027144096934115,4565,AR
P-STL,0.6299744380527345,4565,VA
STL,0.6838319032256822,4565,VA
MTL,0.7142413457341437,4565,VA
MTL+UW,0.7172457277036135,4565,VA
MTL+PCGrad,0.6676202399542484,4565,VA
