Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
104,36,0,0,0,1.0,0.5,0.5,0.5,,18,2,12,4,0.5555555555555556,0.4666666666666667,0.48051948051948057,0.4461538461538461,0.538961038961039
105,22,21,0,13,0.7678571428571429,0.8088235294117647,0.8142857142857143,0.7677830940988836,0.8285714285714285,0,32,3,21,0.5714285714285714,0.3018867924528302,0.45714285714285713,0.3636363636363636,0.8136054421768707
106,51,0,0,0,1.0,0.5,0.5,0.5,,0,44,7,0,0.8627450980392157,0.5,0.43137254901960786,0.4631578947368421,
107,0,34,8,0,0.8095238095238095,0.5,0.40476190476190477,0.4473684210526316,,0,28,1,13,0.6666666666666666,0.34146341463414637,0.4827586206896552,0.4000000000000001,0.050397877984084856
108,63,0,0,0,1.0,0.5,0.5,0.5,,0,63,0,0,1.0,0.5,0.5,0.5,
109,18,14,0,0,1.0,1.0,1.0,1.0,1.0,14,7,11,0,0.65625,0.78,0.6944444444444444,0.6389743589743591,1.0
110,33,11,3,2,0.8979591836734694,0.8814102564102564,0.8642857142857143,0.8721961398017735,0.9591836734693878,1,35,0,13,0.7346938775510204,0.8645833333333333,0.5357142857142857,0.4883534136546185,0.44285714285714284
111,43,0,0,19,0.6935483870967742,0.5,0.3467741935483871,0.40952380952380957,,0,9,53,0,0.14516129032258066,0.5,0.07258064516129033,0.1267605633802817,
112,0,21,0,33,0.3888888888888889,0.19444444444444445,0.5,0.28,1.0,32,21,0,1,0.9814814814814815,0.9772727272727273,0.9848484848484849,0.9806797853309481,1.0
113,31,0,0,0,1.0,0.5,0.5,0.5,,0,0,31,0,0.0,0.0,0.0,0.0,
114,52,0,0,0,1.0,0.5,0.5,0.5,,22,0,0,30,0.4230769230769231,0.5,0.21153846153846154,0.29729729729729726,
116,0,0,46,0,0.0,0.0,0.0,0.0,,38,0,0,8,0.8260869565217391,0.5,0.41304347826086957,0.45238095238095233,
117,68,0,0,0,1.0,0.5,0.5,0.5,,18,35,0,15,0.7794117647058824,0.85,0.7727272727272727,0.7647058823529411,0.954112554112554
120,22,0,0,24,0.4782608695652174,0.5,0.2391304347826087,0.3235294117647059,,33,0,13,0,0.717391304347826,0.358695652173913,0.5,0.4177215189873417,0.037296037296037296
122,30,21,8,0,0.864406779661017,0.8947368421052632,0.8620689655172413,0.8611764705882353,0.9827586206896552,0,56,3,0,0.9491525423728814,0.5,0.4745762711864407,0.4869565217391304,
123,33,8,6,0,0.8723404255319149,0.9230769230769231,0.7857142857142857,0.821969696969697,1.0,17,6,8,16,0.48936170212765956,0.4763636363636364,0.47186147186147187,0.4597701149425287,0.39826839826839827
124,0,20,11,0,0.6451612903225806,0.5,0.3225806451612903,0.39215686274509803,,0,16,15,0,0.5161290322580645,0.5,0.25806451612903225,0.3404255319148936,
125,0,14,0,29,0.32558139534883723,0.16279069767441862,0.5,0.24561403508771928,0.6428571428571429,11,12,17,3,0.5348837209302325,0.5964285714285714,0.5997536945812808,0.5346320346320346,0.6502463054187192
126,0,49,0,0,1.0,0.5,0.5,0.5,,13,35,0,1,0.9795918367346939,0.9861111111111112,0.9642857142857143,0.9744392279603546,0.9979591836734694
127,18,0,33,0,0.35294117647058826,0.17647058823529413,0.5,0.2608695652173913,0.9932659932659932,33,18,0,0,1.0,1.0,1.0,1.0,1.0
128,54,0,0,10,0.84375,0.5,0.421875,0.4576271186440678,,0,48,16,0,0.75,0.5,0.375,0.42857142857142855,
129,28,0,0,21,0.5714285714285714,0.5,0.2857142857142857,0.36363636363636365,,0,49,0,0,1.0,0.5,0.5,0.5,
131,26,33,0,4,0.9365079365079365,0.9459459459459459,0.9333333333333333,0.9357142857142857,1.0,10,30,0,23,0.6349206349206349,0.7830188679245282,0.6515151515151515,0.5940039226674139,0.7737373737373737
132,5,9,9,28,0.27450980392156865,0.3001930501930502,0.32575757575757575,0.2700193423597679,0.14309764309764308,32,4,14,1,0.7058823529411765,0.7478260869565218,0.595959595959596,0.5789763346175014,0.8703703703703703
133,65,0,0,3,0.9558823529411765,0.5,0.47794117647058826,0.48872180451127817,,0,68,0,0,1.0,0.5,0.5,0.5,
134,35,29,0,0,1.0,1.0,1.0,1.0,1.0,0,63,1,0,0.984375,0.5,0.4921875,0.49606299212598426,
