Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
10,0,105,7,0,0.9375,0.5,0.46875,0.4838709677419355,,0,106,6,0,0.9464285714285714,0.5,0.4732142857142857,0.4862385321100917,
11,0,108,4,0,0.9642857142857143,0.5,0.48214285714285715,0.4909090909090909,,0,112,0,0,1.0,0.5,0.5,0.5,
12,0,111,1,0,0.9910714285714286,0.5,0.4955357142857143,0.4977578475336323,,0,88,24,0,0.7857142857142857,0.5,0.39285714285714285,0.44,
13,0,114,9,0,0.926829268292683,0.5,0.4634146341463415,0.48101265822784817,,0,123,0,0,1.0,0.5,0.5,0.5,
14,0,119,0,0,1.0,0.5,0.5,0.5,,0,119,0,0,1.0,0.5,0.5,0.5,
15,0,119,0,0,1.0,0.5,0.5,0.5,,0,112,7,0,0.9411764705882353,0.5,0.47058823529411764,0.48484848484848486,
16,0,109,3,0,0.9732142857142857,0.5,0.48660714285714285,0.49321266968325794,,3,80,4,25,0.7410714285714286,0.5952380952380952,0.5297619047619048,0.508994708994709,0.6985544217687075
17,0,104,12,0,0.896551724137931,0.5,0.4482758620689655,0.4727272727272727,,28,0,0,88,0.2413793103448276,0.5,0.1206896551724138,0.19444444444444445,
18,0,116,6,0,0.9508196721311475,0.5,0.47540983606557374,0.48739495798319327,,0,121,1,0,0.9918032786885246,0.5,0.4959016393442623,0.4979423868312757,
19,0,120,48,0,0.7142857142857143,0.5,0.35714285714285715,0.41666666666666663,,0,82,2,84,0.4880952380952381,0.2469879518072289,0.4880952380952381,0.328,0.24985827664399088
20,13,0,0,155,0.07738095238095238,0.5,0.03869047619047619,0.07182320441988951,,1,83,1,83,0.5,0.5,0.5,0.3436279069767442,0.5693027210884354
21,5,80,4,79,0.5059523809523809,0.529350104821803,0.5059523809523809,0.3829815478560998,0.7991780045351474,2,84,0,82,0.5119047619047619,0.7530120481927711,0.5119047619047619,0.3592558139534883,0.6969954648526079
22,0,116,3,0,0.9747899159663865,0.5,0.48739495798319327,0.49361702127659574,,0,112,7,0,0.9411764705882353,0.5,0.47058823529411764,0.48484848484848486,
23,0,154,14,0,0.9166666666666666,0.5,0.4583333333333333,0.4782608695652174,,0,165,3,0,0.9821428571428571,0.5,0.49107142857142855,0.49549549549549543,
24,3,19,9,81,0.19642857142857142,0.22,0.35714285714285715,0.17968750000000003,0.34183673469387754,4,27,1,80,0.2767857142857143,0.5261682242990654,0.5059523809523809,0.24494382022471908,0.7121598639455782
25,0,119,0,0,1.0,0.5,0.5,0.5,,63,9,26,21,0.6050420168067226,0.5039325842696629,0.5035714285714286,0.5026233881725212,0.6357142857142857
26,0,155,13,0,0.9226190476190477,0.5,0.46130952380952384,0.47987616099071206,,0,162,6,0,0.9642857142857143,0.5,0.48214285714285715,0.4909090909090909,
27,0,165,3,0,0.9821428571428571,0.5,0.49107142857142855,0.49549549549549543,,5,82,2,79,0.5178571428571429,0.6118012422360248,0.5178571428571428,0.3896389324960753,0.608985260770975
28,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.31802721088435376,0,35,0,84,0.29411764705882354,0.14705882352941177,0.5,0.22727272727272727,0.3982993197278911
30,0,163,5,0,0.9702380952380952,0.5,0.4851190476190476,0.4924471299093655,,0,165,3,0,0.9821428571428571,0.5,0.49107142857142855,0.49549549549549543,
31,0,76,36,0,0.6785714285714286,0.5,0.3392857142857143,0.4042553191489362,,12,79,5,16,0.8125,0.7687306501547988,0.6845238095238095,0.7080074487895717,0.8707482993197279
32,0,107,5,0,0.9553571428571429,0.5,0.47767857142857145,0.4885844748858448,,0,109,3,0,0.9732142857142857,0.5,0.48660714285714285,0.49321266968325794,
33,0,63,49,0,0.5625,0.5,0.28125,0.36,,0,68,16,28,0.6071428571428571,0.3541666666666667,0.40476190476190477,0.3777777777777778,0.38095238095238093
34,5,82,1,79,0.5209580838323353,0.6713250517598344,0.5237378083763625,0.3916211293260473,0.753012048192771,0,147,20,0,0.8802395209580839,0.5,0.44011976047904194,0.4681528662420383,
36,5,35,0,79,0.33613445378151263,0.6535087719298246,0.5297619047619048,0.2910791041399593,0.08877551020408164,0,115,4,0,0.9663865546218487,0.5,0.4831932773109244,0.49145299145299143,
37,0,168,0,0,1.0,0.5,0.5,0.5,,0,164,4,0,0.9761904761904762,0.5,0.4880952380952381,0.4939759036144578,
38,0,111,1,0,0.9910714285714286,0.5,0.4955357142857143,0.4977578475336323,,0,107,5,0,0.9553571428571429,0.5,0.47767857142857145,0.4885844748858448,
39,0,162,6,0,0.9642857142857143,0.5,0.48214285714285715,0.4909090909090909,,3,82,2,81,0.5059523809523809,0.5515337423312883,0.5059523809523809,0.3656916708365555,0.6832482993197279
