task,ntg_metric,n,r,p,rho,p_spear
ar,auc,9,-0.13698088412053303,0.7252715106724231,0.17573375583870182,0.6510838503222888
ar,acc,34,0.5801083749816047,0.00032301662905980937,0.37594233401242216,0.028437586031183217
va,auc,14,-0.23895712198504296,0.4106461740005327,-0.3230769230769231,0.25987361950878973
va,acc,34,0.13269975388660832,0.4543746445515084,0.07505231958925161,0.6731321522604401
