participant_id,mean_loss,n_windows,pos_frac,degenerate,sigma2_proxy
104,0.3833267390727997,261,0.6973180174827576,False,0.8554724
105,0.25996124744415283,241,0.5767635107040405,False,1.1416937
106,0.42922651767730713,246,0.5894308686256409,False,0.83512765
107,0.15589167177677155,255,0.6549019813537598,False,0.52036434
108,0.4699535667896271,234,0.7051282525062561,False,0.99030524
109,0.5165800452232361,265,0.4264150857925415,False,1.1586621
110,0.35113102197647095,248,0.6935483813285828,False,0.80464834
111,0.13621531426906586,235,0.6765957474708557,False,0.57920086
112,0.24676942825317383,243,0.7736625075340271,False,0.551039
113,0.309431791305542,266,0.6691729426383972,False,0.80782574
114,0.10833858698606491,245,0.7306122183799744,False,0.32579967
116,0.05331604182720184,251,0.7808765172958374,False,0.1717803
117,0.26424774527549744,229,0.6069868803024292,False,0.7571736
120,0.27913618087768555,251,0.6414343118667603,False,0.6124048
122,0.1551423966884613,238,0.6302521228790283,False,0.5255873
123,0.15301159024238586,250,0.8280000686645508,False,0.45672134
124,0.43901973962783813,266,0.5902255773544312,False,1.0164069
125,0.24935702979564667,254,0.5708661675453186,False,0.6669049
126,0.38819774985313416,248,0.5080645084381104,False,0.831844
127,0.1284950226545334,246,0.5813007950782776,False,0.3016439
128,0.32803311944007874,233,0.4721029996871948,False,0.7396544
129,0.2584100365638733,248,0.5040322542190552,False,0.7040518
131,0.48475381731987,234,0.7094017267227173,False,1.0094067
132,0.49872878193855286,246,0.5203251838684082,False,1.0973192
133,0.383542537689209,229,0.751091718673706,False,0.85564166
134,0.10003659874200821,233,0.6223176121711731,False,0.22086638
