participant_id,mean_loss,n_windows,pos_frac,degenerate,sigma2_proxy
104,0.12180490046739578,261,0.049808427691459656,False,0.21950765
105,0.45621612668037415,241,0.54356849193573,False,1.099827
106,0.30027350783348083,246,0.38211381435394287,False,0.67940855
107,0.4236008822917938,255,0.7372549176216125,False,0.9226652
108,0.00013141143426764756,234,0.0,True,0.00016947437
109,0.41191068291664124,265,0.25660377740859985,False,0.9983901
110,0.21594774723052979,248,0.22580644488334656,False,0.491538
111,0.05735772103071213,235,0.08936169743537903,False,0.08728625
112,0.2950047254562378,243,0.2839505970478058,False,0.7438197
113,0.204061359167099,266,0.1315789520740509,False,0.45717674
114,0.14198705554008484,245,0.1428571343421936,False,0.3837387
116,0.3520863950252533,251,0.19521912932395935,False,0.81786895
117,0.22453731298446655,229,0.15283842384815216,False,0.6931477
120,0.4965098202228546,251,0.394422322511673,False,1.1440238
122,0.1300494223833084,238,0.42016810178756714,False,0.5101291
123,0.08551480621099472,250,0.08400000631809235,False,0.09825588
124,0.4951852858066559,266,0.548872172832489,False,1.178657
125,0.030519617721438408,254,0.13385826349258423,False,0.028982533
126,0.3608444035053253,248,0.8104838728904724,False,0.8415055
127,0.22289347648620605,246,0.14227642118930817,False,0.5171159
128,0.16232603788375854,233,0.20600858330726624,False,0.3279173
129,0.37695106863975525,248,0.44758063554763794,False,1.0107584
131,0.5107933282852173,234,0.5512821078300476,False,1.0941786
132,0.4921262562274933,246,0.4471544623374939,False,1.0237461
133,0.4927806556224823,229,0.4192139804363251,False,1.155879
134,0.4971683621406555,233,0.5922746658325195,False,1.2101245
