task,low_n,low_mean,high_n,high_mean,t,p
AR,6,12.49225561652537,22,1.6420361247947461,2.203966509259098,0.03658219591906332
VA,7,10.251905186866876,21,-1.0733801717408273,2.3580281844480844,0.0261738417821354
