group,n,r,p,rho,p_spear
ar_full,28,0.21966909806543305,0.2613647983670822,0.20383751286265817,0.2981519729434474
ar_clean,25,0.30663525610157705,0.13599605810280455,0.11599662071310463,0.5808389245397683
va_full,28,0.06979333570622429,0.724159894451386,0.22897736971021565,0.2411788127447912
va_clean,25,0.4509144046469397,0.023681392600154567,0.38083846269523725,0.06035508555893865
