participant_id,AR_acc_MTL,VA_acc_MTL,AR_acc_STL,VA_acc_STL,AR_gain_%,VA_gain_%
2,0.5,0.5,0.5,0.5,0.0,0.0
5,0.45833333333333337,0.9583333333333334,0.4464285714285714,0.9880952380952381,1.1904761904761973,-2.9761904761904767
8,0.19047619047619047,0.6488095238095238,0.04761904761904767,0.5119047619047619,14.28571428571428,13.690476190476197
9,0.65625,0.7109375,0.65625,0.8984375,0.0,-18.75
10,1.0,1.0,1.0,1.0,0.0,0.0
11,1.0,1.0,1.0,1.0,0.0,0.0
12,1.0,1.0,1.0,1.0,0.0,0.0
13,0.5040650406504066,0.49593495934959353,0.5203252032520325,0.5203252032520325,-1.6260162601625883,-2.4390243902438935
14,1.0,1.0,1.0,1.0,0.0,0.0
15,1.0,1.0,1.0,1.0,0.0,0.0
16,1.0,0.75,1.0,0.75,0.0,0.0
17,0.8275862068965517,0.8706896551724138,0.7413793103448276,0.8189655172413793,8.62068965517241,5.1724137931034475
18,1.0,0.7131147540983607,1.0,0.6475409836065573,0.0,6.557377049180335
19,1.0,0.75,1.0,0.75,0.0,0.0
20,0.4285714285714286,0.5595238095238095,0.22619047619047616,0.41666666666666663,20.238095238095244,14.28571428571429
21,0.5,0.5,0.5,0.5,0.0,0.0
22,1.0,1.0,1.0,1.0,0.0,0.0
23,1.0,0.7261904761904762,1.0,1.0,0.0,-27.380952380952383
24,1.0,0.25,1.0,0.25,0.0,0.0
25,1.0,0.3613445378151261,0.9831932773109243,0.2100840336134454,1.6806722689075682,15.126050420168069
26,1.0,1.0,1.0,1.0,0.0,0.0
27,1.0,0.5654761904761905,1.0,0.6964285714285714,0.0,-13.095238095238093
28,1.0,0.3529411764705882,1.0,0.39495798319327735,0.0,-4.201680672268915
29,1.0,0.8181818181818181,1.0,0.6090909090909091,0.0,20.9090909090909
30,0.9642857142857143,0.9880952380952381,0.8452380952380952,0.9464285714285714,11.904761904761907,4.166666666666674
31,1.0,0.7117117117117118,1.0,0.7567567567567568,0.0,-4.504504504504503
32,0.375,1.0,0.4107142857142857,1.0,-3.57142857142857,0.0
33,0.2232142857142857,0.75,0.1875,0.75,3.57142857142857,0.0
34,0.4107142857142857,0.9642857142857143,0.41666666666666663,0.9166666666666666,-0.5952380952380931,4.761904761904767
35,1.0,0.865546218487395,0.957983193277311,0.8571428571428572,4.201680672268903,0.8403361344537785
36,0.2941176470588235,0.3025210084033614,0.2941176470588235,0.3613445378151261,0.0,-5.882352941176472
37,1.0,1.0,1.0,1.0,0.0,0.0
38,1.0,1.0,1.0,1.0,0.0,0.0
39,1.0,0.44047619047619047,1.0,0.47619047619047616,0.0,-3.57142857142857
