participant_id,AR_acc_MTL,VA_acc_MTL,AR_acc_STL,VA_acc_STL,AR_gain_%,VA_gain_%
10,1.0,1.0,1.0,1.0,0.0,0.0
11,1.0,1.0,1.0,1.0,0.0,0.0
12,1.0,1.0,1.0,1.0,0.0,0.0
13,0.7398373983739837,0.7317073170731707,0.2845528455284553,0.2845528455284553,45.52845528455284,44.71544715447154
14,1.0,1.0,1.0,1.0,0.0,0.0
15,1.0,1.0,1.0,1.0,0.0,0.0
16,1.0,0.75,1.0,0.75,0.0,0.0
17,0.8275862068965517,0.5172413793103448,0.7758620689655172,0.35344827586206895,5.1724137931034475,16.37931034482758
18,1.0,0.8934426229508197,1.0,0.8688524590163934,0.0,2.4590163934426257
19,1.0,0.5,1.0,0.5,0.0,0.0
20,0.9642857142857143,0.7261904761904762,0.8869047619047619,0.7083333333333333,7.738095238095244,1.7857142857142905
21,0.5,0.5,0.5,0.5,0.0,0.0
22,1.0,1.0,1.0,1.0,0.0,0.0
23,1.0,1.0,1.0,1.0,0.0,0.0
24,0.6696428571428572,0.25,0.5803571428571428,0.25,8.928571428571441,0.0
25,1.0,0.7058823529411764,1.0,0.7058823529411764,0.0,0.0
26,1.0,1.0,1.0,1.0,0.0,0.0
27,1.0,0.6369047619047619,1.0,0.5297619047619048,0.0,10.71428571428571
28,0.8319327731092436,0.4369747899159664,0.6890756302521008,0.33613445378151263,14.28571428571428,10.084033613445376
30,0.23809523809523814,1.0,0.26190476190476186,1.0,-2.3809523809523725,0.0
31,1.0,0.2857142857142857,1.0,0.6607142857142857,0.0,-37.5
32,0.3839285714285714,1.0,0.0,1.0,38.39285714285714,0.0
33,0.0,0.75,0.0,0.75,0.0,0.0
34,0.19760479041916168,0.2574850299401198,0.26347305389221554,0.27544910179640714,-6.586826347305386,-1.7964071856287345
36,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.0,0.0
37,1.0,1.0,1.0,1.0,0.0,0.0
38,1.0,1.0,1.0,1.0,0.0,0.0
39,1.0,0.5,1.0,0.47619047619047616,0.0,2.3809523809523836
