participant_id,AR_acc_MTL,VA_acc_MTL,AR_acc_STL,VA_acc_STL,AR_gain_%,VA_gain_%
104,1.0,0.5555555555555556,1.0,0.5,0.0,5.555555555555558
105,0.7678571428571428,0.7857142857142857,0.7678571428571428,0.8214285714285714,0.0,-3.57142857142857
106,1.0,0.8627450980392157,1.0,0.8627450980392157,0.0,0.0
107,0.8095238095238095,0.45238095238095233,1.0,0.47619047619047616,-19.047619047619047,-2.3809523809523836
108,1.0,1.0,1.0,1.0,0.0,0.0
109,1.0,0.71875,0.9375,0.4375,6.25,28.125
110,0.8775510204081632,0.7346938775510203,0.8571428571428572,0.7346938775510203,2.0408163265306034,0.0
111,0.7419354838709677,0.5,0.7096774193548387,0.467741935483871,3.2258064516129004,3.2258064516129004
112,0.38888888888888884,1.0,0.40740740740740744,1.0,-1.85185185185186,0.0
113,1.0,0.0,1.0,0.0,0.0,0.0
114,1.0,0.42307692307692313,1.0,0.42307692307692313,0.0,0.0
116,0.0,0.7173913043478262,0.0,0.8478260869565217,0.0,-13.043478260869556
117,1.0,0.7647058823529411,1.0,0.8529411764705882,0.0,-8.823529411764708
120,0.4782608695652174,0.7173913043478262,0.4782608695652174,0.7173913043478262,0.0,0.0
122,0.8983050847457628,0.9491525423728814,0.864406779661017,0.9661016949152542,3.3898305084745783,-1.6949152542372836
123,0.8085106382978724,0.276595744680851,0.851063829787234,0.5319148936170213,-4.255319148936165,-25.531914893617024
124,0.935483870967742,0.5806451612903225,0.6451612903225806,0.5161290322580645,29.032258064516135,6.451612903225801
125,0.32558139534883723,0.5581395348837209,0.32558139534883723,0.5116279069767442,0.0,4.651162790697672
126,1.0,0.9795918367346939,1.0,0.9795918367346939,0.0,0.0
127,0.37254901960784315,1.0,0.3529411764705882,1.0,1.9607843137254943,0.0
128,0.875,0.90625,0.875,0.78125,0.0,12.5
129,0.5306122448979591,1.0,0.7551020408163265,1.0,-22.44897959183674,0.0
131,0.9365079365079365,0.6507936507936508,0.9365079365079365,0.6666666666666667,0.0,-1.5873015873015928
132,0.17647058823529416,0.7647058823529411,0.2941176470588235,0.7058823529411764,-11.764705882352933,5.882352941176472
133,0.8970588235294118,1.0,1.0,1.0,-10.29411764705882,0.0
134,1.0,0.96875,1.0,0.96875,0.0,0.0
