Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
104,36,0,0,0,1.0,0.5,0.5,0.5,,16,3,11,6,0.5277777777777778,0.4629629629629629,0.4707792207792208,0.45696539485359355,0.5941558441558441
105,22,20,1,13,0.75,0.7812911725955205,0.7904761904761904,0.7496807151979565,0.8340136054421768,20,23,12,1,0.7678571428571429,0.7916666666666667,0.8047619047619048,0.767188999040614,0.8843537414965986
106,51,0,0,0,1.0,0.5,0.5,0.5,,0,41,10,0,0.803921568627451,0.5,0.4019607843137255,0.4456521739130435,
107,0,42,0,0,1.0,0.5,0.5,0.5,,0,20,9,13,0.47619047619047616,0.30303030303030304,0.3448275862068966,0.32258064516129037,0.02122015915119363
108,63,0,0,0,1.0,0.5,0.5,0.5,,0,62,1,0,0.9841269841269841,0.5,0.49206349206349204,0.49599999999999994,
109,18,14,0,0,1.0,1.0,1.0,1.0,1.0,14,16,2,0,0.9375,0.9375,0.9444444444444444,0.9372549019607843,1.0
110,19,14,0,16,0.673469387755102,0.7333333333333334,0.7714285714285714,0.67003367003367,0.9000000000000001,1,34,1,13,0.7142857142857143,0.6117021276595744,0.5214285714285715,0.47713414634146345,0.8959183673469387
111,42,0,0,20,0.6774193548387096,0.5,0.3387096774193548,0.40384615384615385,,0,27,35,0,0.43548387096774194,0.5,0.21774193548387097,0.3033707865168539,
112,0,19,2,33,0.35185185185185186,0.18269230769230768,0.4523809523809524,0.2602739726027397,0.027417027417027392,31,21,0,2,0.9629629629629629,0.9565217391304348,0.9696969696969697,0.9616477272727273,1.0
113,31,0,0,0,1.0,0.5,0.5,0.5,,0,3,28,0,0.0967741935483871,0.5,0.04838709677419355,0.08823529411764706,
114,52,0,0,0,1.0,0.5,0.5,0.5,,21,0,0,31,0.40384615384615385,0.5,0.20192307692307693,0.28767123287671237,
116,0,0,46,0,0.0,0.0,0.0,0.0,,35,0,0,11,0.7608695652173914,0.5,0.3804347826086957,0.4320987654320988,
117,68,0,0,0,1.0,0.5,0.5,0.5,,13,29,6,20,0.6176470588235294,0.6380236305048335,0.6112554112554113,0.5952380952380952,0.7376623376623377
120,22,0,0,24,0.4782608695652174,0.5,0.2391304347826087,0.3235294117647059,,33,0,13,0,0.717391304347826,0.358695652173913,0.5,0.4177215189873417,0.07226107226107226
122,30,23,6,0,0.8983050847457628,0.9166666666666667,0.896551724137931,0.8968531468531469,0.9632183908045977,0,48,11,0,0.8135593220338984,0.5,0.4067796610169492,0.4485981308411215,
123,33,4,10,0,0.7872340425531915,0.8837209302325582,0.6428571428571428,0.6564327485380117,1.0,0,13,1,33,0.2765957446808511,0.14130434782608695,0.4642857142857143,0.21666666666666665,0.46320346320346323
124,0,30,1,0,0.967741935483871,0.5,0.4838709677419355,0.4918032786885246,,0,18,13,0,0.5806451612903226,0.5,0.2903225806451613,0.3673469387755102,
125,0,14,0,29,0.32558139534883723,0.16279069767441862,0.5,0.24561403508771928,0.37438423645320196,14,3,26,0,0.3953488372093023,0.675,0.5517241379310345,0.35300925925925924,0.6502463054187193
126,0,49,0,0,1.0,0.5,0.5,0.5,,13,35,0,1,0.9795918367346939,0.9861111111111112,0.9642857142857143,0.9744392279603546,0.9530612244897959
127,18,2,31,0,0.39215686274509803,0.6836734693877551,0.5303030303030303,0.3257995735607676,0.7609427609427609,33,18,0,0,1.0,1.0,1.0,1.0,1.0
128,40,0,0,24,0.625,0.5,0.3125,0.38461538461538464,,0,60,4,0,0.9375,0.5,0.46875,0.4838709677419355,
129,28,0,0,21,0.5714285714285714,0.5,0.2857142857142857,0.36363636363636365,,0,49,0,0,1.0,0.5,0.5,0.5,
131,26,33,0,4,0.9365079365079365,0.9459459459459459,0.9333333333333333,0.9357142857142857,0.9818181818181818,11,27,3,22,0.6031746031746031,0.6683673469387754,0.6166666666666667,0.5758147050902235,0.8333333333333334
132,8,0,18,25,0.1568627450980392,0.15384615384615385,0.12121212121212122,0.13559322033898305,0.12121212121212119,26,13,5,7,0.7647058823529411,0.7443548387096774,0.755050505050505,0.7483552631578947,0.8468013468013468
133,62,0,0,6,0.9117647058823529,0.5,0.45588235294117646,0.47692307692307695,,0,68,0,0,1.0,0.5,0.5,0.5,
134,35,29,0,0,1.0,1.0,1.0,1.0,1.0,0,61,3,0,0.953125,0.5,0.4765625,0.488,
