task,ntg_metric,n,r,p,rho,p_spear
ar,auc,5,0.08867134010968789,0.8872482661268547,-0.09999999999999999,0.8728885715695383
ar,acc,28,0.124424004948638,0.5281507636606507,0.31278176726986223,0.1051065166990202
va,auc,11,0.339634932438443,0.306843027095878,0.46363636363636374,0.15090149929248603
va,acc,28,0.3733241895785984,0.05037264460162837,0.23593263703531503,0.22678849483058997
