Participant ID,AR TN,AR TP,AR FN,AR FP,AR Acc,AR Macro P,AR Macro R,AR Macro F1,AR AUC,VA TN,VA TP,VA FN,VA FP,VA Acc,VA Macro P,VA Macro R,VA Macro F1,VA AUC
104,36,0,0,0,1.0,0.5,0.5,0.5,,17,5,9,5,0.6111111111111112,0.5769230769230769,0.564935064935065,0.5625,0.7077922077922079
105,23,21,0,12,0.7857142857142857,0.8181818181818181,0.8285714285714285,0.7854406130268199,0.8231292517006803,18,24,11,3,0.75,0.7547892720306513,0.7714285714285714,0.7470967741935484,0.782312925170068
106,51,0,0,0,1.0,0.5,0.5,0.5,,0,36,15,0,0.7058823529411765,0.5,0.35294117647058826,0.41379310344827586,
107,0,38,4,0,0.9047619047619048,0.5,0.4523809523809524,0.47500000000000003,,0,28,1,13,0.6666666666666666,0.34146341463414637,0.4827586206896552,0.4000000000000001,0.007957559681697611
108,63,0,0,0,1.0,0.5,0.5,0.5,,0,62,1,0,0.9841269841269841,0.5,0.49206349206349204,0.49599999999999994,
109,18,14,0,0,1.0,1.0,1.0,1.0,1.0,14,11,7,0,0.78125,0.8333333333333333,0.8055555555555556,0.7793103448275862,1.0
110,32,12,2,3,0.8979591836734694,0.8705882352941177,0.8857142857142857,0.8775612193903048,0.9326530612244898,0,35,0,14,0.7142857142857143,0.35714285714285715,0.5,0.41666666666666663,0.7489795918367348
111,44,0,0,18,0.7096774193548387,0.5,0.3548387096774194,0.41509433962264153,,0,32,30,0,0.5161290322580645,0.5,0.25806451612903225,0.3404255319148936,
112,19,19,2,14,0.7037037037037037,0.7402597402597403,0.7402597402597403,0.7037037037037038,0.8095238095238095,32,21,0,1,0.9814814814814815,0.9772727272727273,0.9848484848484849,0.9806797853309481,1.0
113,31,0,0,0,1.0,0.5,0.5,0.5,,0,4,27,0,0.12903225806451613,0.5,0.06451612903225806,0.1142857142857143,
114,52,0,0,0,1.0,0.5,0.5,0.5,,21,0,0,31,0.40384615384615385,0.5,0.20192307692307693,0.28767123287671237,
116,0,0,46,0,0.0,0.0,0.0,0.0,,37,0,0,9,0.8043478260869565,0.5,0.40217391304347827,0.4457831325301205,
117,68,0,0,0,1.0,0.5,0.5,0.5,,13,33,2,20,0.6764705882352942,0.7446540880503145,0.6683982683982683,0.6458333333333334,0.7108225108225108
120,25,0,0,21,0.5434782608695652,0.5,0.2717391304347826,0.352112676056338,,33,0,13,0,0.717391304347826,0.358695652173913,0.5,0.4177215189873417,0.020979020979020963
122,30,25,4,0,0.9322033898305084,0.9411764705882353,0.9310344827586207,0.931712962962963,0.9793103448275862,0,55,4,0,0.9322033898305084,0.5,0.4661016949152542,0.4824561403508772,
123,33,8,6,0,0.8723404255319149,0.9230769230769231,0.7857142857142857,0.821969696969697,1.0,29,9,5,4,0.8085106382978723,0.7726244343891402,0.7608225108225108,0.7661691542288557,0.6818181818181819
124,0,19,12,0,0.6129032258064516,0.5,0.3064516129032258,0.38,,0,18,13,0,0.5806451612903226,0.5,0.2903225806451613,0.3673469387755102,
125,1,14,0,28,0.3488372093023256,0.6666666666666666,0.5172413793103449,0.2833333333333333,0.6625615763546798,11,23,6,3,0.7906976744186046,0.7658371040723981,0.7894088669950738,0.7730205278592375,0.9014778325123153
126,0,49,0,0,1.0,0.5,0.5,0.5,,13,35,0,1,0.9795918367346939,0.9861111111111112,0.9642857142857143,0.9744392279603546,0.9918367346938776
127,18,1,32,0,0.37254901960784315,0.6799999999999999,0.5151515151515151,0.29411764705882354,1.0,33,18,0,0,1.0,1.0,1.0,1.0,1.0
128,60,0,0,4,0.9375,0.5,0.46875,0.4838709677419355,,0,44,20,0,0.6875,0.5,0.34375,0.4074074074074074,
129,23,0,0,26,0.46938775510204084,0.5,0.23469387755102042,0.3194444444444444,,0,49,0,0,1.0,0.5,0.5,0.5,
131,28,33,0,2,0.9682539682539683,0.9714285714285714,0.9666666666666667,0.968052738336714,1.0,10,30,0,23,0.6349206349206349,0.7830188679245282,0.6515151515151515,0.5940039226674139,0.7676767676767676
132,7,2,16,26,0.17647058823529413,0.18788819875776397,0.1616161616161616,0.16847826086956522,0.10606060606060606,27,13,5,6,0.7843137254901961,0.7639802631578947,0.7702020202020202,0.7667359667359668,0.9343434343434343
133,66,0,0,2,0.9705882352941176,0.5,0.4852941176470588,0.4925373134328358,,0,65,3,0,0.9558823529411765,0.5,0.47794117647058826,0.48872180451127817,
134,35,29,0,0,1.0,1.0,1.0,1.0,1.0,0,64,0,0,1.0,0.5,0.5,0.5,
