model,task,n,spearman_rho,p,mean_gain_pct
UW,AR,34,0.34757953794723856,0.04398819906014542,1.875754135820459
UW,VA,34,0.10016374315614945,0.5730096489387195,1.9830776158587118
PCGrad,AR,34,0.17529315472515153,0.3213929698298475,0.8952485164649151
PCGrad,VA,34,-0.28731623458450295,0.09943241455366289,0.34755659035688874
