group,n,r,p,rho,p_spear
ar_full,34,-0.14044536008057945,0.4282224722729851,-0.15203144754438785,0.3907075427170629
ar_clean,30,-0.05931772331229565,0.7555228111356329,-0.11374037935769549,0.5495346330100421
va_full,34,0.03411320878525045,0.8481120640136948,0.19626585079683861,0.26593465705746533
va_clean,30,-0.18670609910894923,0.32320125757488205,0.011650883606815812,0.9512756870948351
