task,low_n,low_mean,high_n,high_mean,t,p
AR,7,5.01700680272109,27,0.9178440089240075,2.0947611323235167,0.04419575895332075
VA,6,2.6260504201680672,28,-0.46598729793761606,0.7786424760825369,0.4419103965267277
