participant_id,ar_affinity_score,va_affinity_score
104,-3.7285833968780935e-05,-0.0001931064616655931
105,2.5868888769764453e-05,-0.00012625422095879912
106,7.278094926732592e-06,-0.00046014043618924916
107,9.540058272250462e-07,-0.0010243623983114958
108,-1.650996091484558e-05,2.516971835575532e-05
109,-6.378790567396209e-05,-3.331645712023601e-05
110,-5.838042125105858e-05,-0.000786592427175492
111,0.00018375854415353388,2.5968132831621915e-05
112,5.12047772645019e-05,-3.2947841646091547e-06
113,2.602269705676008e-05,-0.0006602805224247277
114,0.0001080002257367596,-0.0013890762347728014
116,8.54645695653744e-05,-0.001446919864974916
117,-4.6726217988179997e-05,-0.0010330039076507092
120,2.4856673917383887e-05,-9.188628609990701e-05
122,0.00013736734399572015,-0.0005160196451470256
123,-0.00011148493649670854,-0.0001308086939388886
124,5.232162220636383e-05,-1.765146180332522e-06
125,5.53044410480652e-05,-3.91942921851296e-05
126,-1.6909962141653523e-05,-6.05287314101588e-05
127,-0.0001053748928825371,-0.0002648647059686482
128,2.117218537023291e-05,-0.00034585781395435333
129,0.00013029783440288156,-0.0001335898123215884
131,-2.2957347027841024e-06,-0.00011308933608233929
132,4.0344630178879015e-06,-1.7333528376184404e-05
133,5.3101499361218885e-05,-0.00012654869351536036
134,1.7594642486074008e-05,-0.002449911553412676
