participant_id,ar_misclassified_rows,va_misclassified_rows,total_rows,ar_accuracy,va_accuracy
104,0,15,36,1.0,0.5833333333333333
105,12,11,56,0.7857142857142857,0.8035714285714286
106,0,0,51,1.0,1.0
107,11,14,42,0.7380952380952381,0.6666666666666667
108,0,1,63,1.0,0.9841269841269842
109,2,4,32,0.9375,0.875
110,6,14,49,0.8775510204081632,0.7142857142857143
111,14,29,62,0.7741935483870968,0.532258064516129
112,51,10,54,0.05555555555555558,0.8148148148148149
113,0,29,31,1.0,0.06451612903225812
114,0,39,52,1.0,0.25
116,46,5,46,0.0,0.8913043478260869
117,0,22,68,1.0,0.6764705882352942
120,18,13,46,0.6086956521739131,0.7173913043478262
122,7,1,59,0.8813559322033898,0.9830508474576272
123,9,21,47,0.8085106382978724,0.5531914893617021
124,3,13,31,0.9032258064516129,0.5806451612903225
125,29,11,43,0.32558139534883723,0.7441860465116279
126,0,1,49,1.0,0.9795918367346939
127,33,0,51,0.3529411764705882,1.0
128,15,14,64,0.765625,0.78125
129,25,0,49,0.4897959183673469,1.0
131,4,24,63,0.9365079365079365,0.6190476190476191
132,42,9,51,0.17647058823529416,0.8235294117647058
133,4,2,68,0.9411764705882353,0.9705882352941176
134,1,0,64,0.984375,1.0
