participant_id,mean_loss,n_windows,pos_frac,degenerate,sigma2_proxy
2,0.0008208966464735568,231,0.7272727489471436,False,0.0144498255
5,0.013517934828996658,231,0.8787878751754761,False,0.024472142
8,0.08009246736764908,241,0.8672199845314026,False,0.19607307
9,0.14897042512893677,282,0.5957446694374084,False,0.44888872
10,0.00012945113121531904,287,1.0,True,0.003742449
11,0.00011802060180343688,288,1.0,True,0.0037394469
12,0.0001635840890230611,288,1.0,True,0.0037403707
13,0.01116599515080452,280,0.699999988079071,False,0.012772604
14,0.00011408331920392811,280,1.0,True,0.0036818655
15,0.000165917634149082,280,1.0,True,0.0038163315
16,0.00016422805492766201,287,1.0,True,0.0038131136
17,0.25272804498672485,290,0.4206896424293518,False,0.5632823
18,0.04575832188129425,280,0.6000000238418579,False,0.06673115
19,0.46728941798210144,287,0.707317054271698,False,1.0302217
20,0.18754693865776062,231,0.6363636255264282,False,0.6092957
21,9.936794958775863e-05,231,1.0,True,0.0036658451
22,0.0001709302159724757,280,1.0,True,0.0037299655
23,0.12652654945850372,231,0.8787878751754761,False,0.16157192
24,0.00012658414198085666,287,1.0,True,0.0036476532
25,0.06122055649757385,259,0.5675675272941589,False,0.29130122
26,0.00016439253522548825,231,1.0,True,0.0037332235
27,0.16178388893604279,231,0.5151515007019043,False,0.40245116
28,0.004226095974445343,280,0.6000000238418579,False,0.037174728
29,0.24520869553089142,287,0.707317054271698,False,0.652579
30,0.07807554304599762,231,0.8787878751754761,False,0.118332416
31,0.030402565374970436,287,0.707317054271698,False,0.024957638
32,0.00011667577928164974,287,1.0,True,0.0037365844
33,8.838852227199823e-05,287,1.0,True,0.0037120983
34,0.08694951981306076,231,0.6363636255264282,False,0.40145132
35,0.0010214830981567502,280,0.8999999761581421,False,0.008819677
36,0.16555440425872803,280,0.699999988079071,False,0.6689803
37,0.0001403938076691702,231,1.0,True,0.0038957587
38,0.00017356952594127506,287,1.0,True,0.0038662988
39,0.014553816057741642,231,0.1515151560306549,False,0.12308386
