Model,AUC,N,Task
P-STL,0.4748627239175443,3762,AR
STL,0.7094400614688219,3762,AR
MTL,0.7937922490987573,3762,AR
MTL+UW,0.7316220439026273,3762,AR
MTL+PCGrad,0.7510362683195522,3762,AR
P-STL,0.6376690422526269,3762,VA
STL,0.7195402526903909,3762,VA
MTL,0.684790959017174,3762,VA
MTL+UW,0.6758642582775151,3762,VA
MTL+PCGrad,0.6433186644868417,3762,VA
