participant_id,sigma,mtl_auc,stl_auc,ntg_auc,mtl_acc,stl_acc,ntg_acc
104,0.4685164,,,,1.0,1.0,0.0
105,1.0487263,0.8204081632653061,0.8285714285714285,-0.008163265306122436,0.7678571428571429,0.7678571428571429,0.0
106,0.8242623,,,,1.0,1.0,0.0
107,0.96055466,,,,0.8095238095238095,0.8095238095238095,0.0
108,0.013018232,,,,1.0,1.0,0.0
109,0.99919474,1.0,1.0,0.0,1.0,1.0,0.0
110,0.7010977,0.8734693877551021,0.9591836734693878,-0.08571428571428574,0.8775510204081632,0.8979591836734694,-0.020408163265306145
111,0.29544246,,,,0.7258064516129032,0.6935483870967742,0.032258064516129004
112,0.8624498,0.4848484848484848,1.0,-0.5151515151515151,0.3703703703703703,0.3888888888888889,-0.0185185185185186
113,0.6761484,,,,1.0,1.0,0.0
114,0.61946654,,,,1.0,1.0,0.0
116,0.90436107,,,,0.0,0.0,0.0
117,0.83255494,,,,1.0,1.0,0.0
120,1.0695904,,,,0.5869565217391305,0.4782608695652174,0.10869565217391308
122,0.7142332,0.9862068965517242,0.9827586206896552,0.0034482758620689724,0.8983050847457628,0.864406779661017,0.03389830508474578
123,0.31345794,1.0,1.0,0.0,0.851063829787234,0.8723404255319149,-0.021276595744680882
124,1.0856597,,,,0.8709677419354839,0.6451612903225806,0.22580645161290325
125,0.17024258,0.7364532019704433,0.6428571428571429,0.09359605911330038,0.3255813953488372,0.3255813953488372,0.0
126,0.91733617,,,,1.0,1.0,0.0
127,0.7191077,0.9562289562289562,0.9932659932659932,-0.03703703703703698,0.3529411764705882,0.3529411764705882,0.0
128,0.57264066,,,,0.796875,0.84375,-0.046875
129,1.0053648,,,,0.5510204081632653,0.5714285714285714,-0.020408163265306145
131,1.0460299,0.995959595959596,1.0,-0.004040404040403955,0.9365079365079364,0.9365079365079364,0.0
132,1.0118034,0.1717171717171717,0.143097643097643,0.02861952861952871,0.1764705882352941,0.2745098039215686,-0.0980392156862745
133,1.0751181,,,,0.7794117647058824,0.9558823529411764,-0.17647058823529405
134,1.1000566,1.0,1.0,0.0,1.0,1.0,0.0
