participant_id,sigma,mtl_auc,stl_auc,ntg_auc,mtl_acc,stl_acc,ntg_acc
104,0.9249176,0.7175324675324675,0.538961038961039,0.1785714285714285,0.5833333333333334,0.5555555555555556,0.02777777777777779
105,1.0685008,0.8,0.8136054421768707,-0.013605442176870652,0.7857142857142857,0.5714285714285714,0.2142857142857143
106,0.9138532,,,,1.0,0.8627450980392157,0.13725490196078427
107,0.72136277,0.0106100795755968,0.0503978779840848,-0.039787798408488,0.6666666666666666,0.6666666666666666,0.0
108,0.9951408,,,,0.984126984126984,1.0,-0.01587301587301604
109,1.0764117,1.0,1.0,0.0,0.84375,0.65625,0.1875
110,0.897022,0.1877551020408163,0.4428571428571428,-0.2551020408163265,0.7142857142857143,0.7346938775510204,-0.020408163265306145
111,0.76105237,,,,0.5161290322580645,0.1451612903225806,0.3709677419354839
112,0.74231994,0.976911976911977,1.0,-0.023088023088023046,0.6851851851851852,0.9814814814814816,-0.2962962962962964
113,0.8987912,,,,0.064516129032258,0.0,0.064516129032258
114,0.5707886,,,,0.3461538461538461,0.4230769230769231,-0.07692307692307698
116,0.41446388,,,,0.8695652173913043,0.8260869565217391,0.04347826086956519
117,0.87015724,0.6363636363636362,0.954112554112554,-0.3177489177489178,0.6617647058823529,0.7794117647058824,-0.11764705882352944
120,0.782563,0.0139860139860139,0.0372960372960372,-0.023310023310023298,0.717391304347826,0.717391304347826,0.0
122,0.724974,,,,0.9830508474576272,0.9491525423728814,0.03389830508474578
123,0.67581165,0.619047619047619,0.3982683982683982,0.22077922077922074,0.5531914893617021,0.4893617021276595,0.06382978723404265
124,1.0081701,,,,0.5483870967741935,0.5161290322580645,0.032258064516129004
125,0.8166424,0.854679802955665,0.6502463054187192,0.20443349753694584,0.7441860465116279,0.5348837209302325,0.2093023255813954
126,0.9120549,0.9959183673469388,0.9979591836734694,-0.0020408163265305257,0.979591836734694,0.979591836734694,0.0
127,0.54922116,1.0,1.0,0.0,1.0,1.0,0.0
128,0.8600316,,,,0.859375,0.75,0.109375
129,0.83907795,,,,1.0,1.0,0.0
131,1.0046923,0.88989898989899,0.7737373737373737,0.11616161616161624,0.6031746031746031,0.6349206349206349,-0.031746031746031744
132,1.04753,0.9410774410774412,0.8703703703703703,0.07070707070707083,0.8627450980392157,0.7058823529411765,0.1568627450980392
133,0.925009,,,,0.9558823529411764,1.0,-0.044117647058823595
134,0.46996424,,,,1.0,0.984375,0.015625
