task,ntg_metric,n,r,p,rho,p_spear
ar,auc,11,-0.1654382979011239,0.6268741856506083,-0.15596986672623442,0.6469890978968518
ar,acc,26,0.04530675985954842,0.826049704381278,0.04221203674090409,0.8377712418517811
va,auc,14,-0.043652616738917946,0.8822054404138892,0.08800885413611155,0.7648043912932039
va,acc,26,0.22119415156005398,0.2775123109088701,0.18079008611998643,0.37678830433166366
