model,task,n,spearman_rho,p,mean_gain_pct
UW,AR,28,-0.26144373471404375,0.17899078335432414,2.2270364711307087
UW,VA,28,0.07237527929924209,0.7143696058663143,1.3243292380644724
PCGrad,AR,28,0.06930660684020583,0.7260103066124197,3.7315817322482037
PCGrad,VA,28,0.07735522970974039,0.6956120787487293,0.7052334744933547
